Tulossa,Poistuu,Malli,Numero,Kohteen osoite,Postinumero,Postitoimipaikka,Sijaintipaikan tyyppi,Sijaintipaikka,Aukioloaika,Aukioloaika (lisätiedot),Koordinaatti LAT,Koordinaatti LON
,,O,04157,PANELIANTIE 46,27430,PANELIA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,61.226460,21.973220
,,P,06010,KAUPPATIE 3,27500,KAUTTUA,LIIKEKIINTEISTÖ,KAUTTUAN LIIKEKESKUS,24 H AUKIOLO,,61.115670,22.162810
,,T,40099,SATAKUNNANKATU 13,27510,EURA,KAUPPA,K-SUPERMARKET EURA,LIIKETILAN AUKIOLO,,61.129870,22.135740
,,O,04783,SATAKUNNANKATU 19,27510,EURA,PANKIN KONTTORI,OP EURA,24 H AUKIOLO,,61.130160,22.139755
,,O,04408,KÖYLIÖNTIE 1,27710,KÖYLIÖ,PANKIN KONTTORI,OP KÖYLIÖ,24 H AUKIOLO,,61.118401,22.307495
,,O,04142,PYHÄJÄRVENTIE 8,27800,SÄKYLÄ,PANKIN KONTTORI,OP SÄKYLÄ,24 H AUKIOLO,,61.046190,22.345710
,,O+,40296,ANTINKATU 19,28100,PORI,TAVARATALO,K-SUPERMARKET ANTINKATU,LIIKETILAN AUKIOLO,,61.484580,21.794800
,,O,03983,GALLEN-KALLELANKATU 9,28100,PORI,LIIKEKIINTEISTÖ,LÄHI TAPIOLA,24 H AUKIOLO,,61.487140,21.793440
,,O,04095,ISOLINNANKATU 18,28100,PORI,KAUPPA,K-SUPERMARKET ISOLINNA,24 H AUKIOLO,,61.485260,21.800360
,,P,06015,KOLMIOKATU 2,28100,PORI,KAUPPA,PICK N PAY PORI,24 H AUKIOLO,,61.497990,21.809200
,,T,40066,SILTAPUISTOKATU 14,28100,PORI,KAUPPAKESKUS,PUUVILLA,LIIKETILAN AUKIOLO,,61.494580,21.799840
,,O+,40258,SILTAPUISTOKATU 14,28100,PORI,TAVARATALO,PORIN PUUVILLA,LIIKETILAN AUKIOLO,,61.494070,21.800110
,,O,04343,YRJÖNKATU 10,28100,PORI,PANKIN KONTTORI,DANSKE PORI,24 H AUKIOLO,,61.486090,21.798040
,,O,05097,YRJÖNKATU 14,28100,PORI,KAUPPA,ISOKARHU,24 H AUKIOLO,,61.484812,21.797452
,,O,04806,YRJÖNKATU 18,28100,PORI,TAVARATALO,SOKOS PORI,24 H AUKIOLO,,61.483794,21.796945
,,O,03984,YRJÖNKATU 22,28100,PORI,PANKIN KONTTORI,OP PORI  BEPOP,24 H AUKIOLO,,61.482930,21.796530
,,T,40043,YRJÖNKATU 22,28100,PORI,KAUPPAKESKUS,BEPOP,LIIKETILAN AUKIOLO,,61.482710,21.796570
,,O,05096,KALEVANPUISTO 54,28120,PORI,KAUPPAKESKUS,KÄPPÄRÄN LIIKEKESKUS,24 H AUKIOLO,,61.482923,21.762315
,,O,04524,TIKKULANTIE 2,28120,PORI,LIIKENNEPAIKKA,ABC TIKKULA,LIIKETILAN AUKIOLO,,61.487580,21.750980
,,EP,05516,ITÄKESKUKSENKAARI 6,28130,PORI,TAVARATALO,PRISMA MIKKOLA / ETELÄ,LIIKETILAN AUKIOLO,,61.453180,21.838930
